Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
39031663681942,2015-06-24,2015-07-02,2015-07-02,User repeatedly gets 'no results found',Asif Solkar,,"High Priority,Completed,search query issue",,Label Issues,
39169292599430,2015-06-25,2015-07-02,2015-07-02,discontinued label titles are still being autopopulated,Asif Solkar,,"High Priority,Search Query",,Label Issues,
37627713102208,2015-06-12,2015-07-20,2015-07-20,wildcard search feature does not work with asterisks on both sides of the word,Asif Solkar,,Completed,,Label Issues,
37616658811622,2015-06-12,2015-06-18,2015-06-18,Label not updating,Asif Solkar,,Completed,Client complained that latest label version was not showing up,Label Issues,
37152360703501,2015-06-09,2015-07-02,2015-07-02,Communication Failure when logging into Asana,Asif Solkar,,,"users located in India are having difficulty logging into DOC Label
",Label Issues,
37001317793058,2015-06-08,2015-07-01,2015-07-01,Pfizer USPI Mapping,sohel,,"High Priority,Completed,Upload","Please map the attached USPI for Pfizer. Client ID 32. 

I tried using format 23 and it works well except a few sections that are not mapping properly: Pregnancy Section - appears blank and References Section appears combined with How Supplied section (needs to be separated out). 

Please map and assign a new format for Pfizer USPI. 

Thanks!
Katia",Label Issues,
36565356533286,2015-06-03,,2015-06-18,Bar charts missing,Asif Solkar,,"High Priority,Dashboard",Bar charts are sometimes missing on dashboard screen (see screenshot),Label Issues,
35671247879290,2015-05-26,,2015-08-06,Search DailyMed Label Meta-Data,Asif Solkar,,"Search Query,Medium Priority","Request coming from Pfizer to include meta-data in the search. Example attached and includes things like Establishment, Inactive Ingredients, etc. found in grey area below the label information on DailyMed.

Can we make these fields searchable? 

Thank you
Katia",Label Issues,
34079637684899,2015-05-13,2015-07-20,2015-07-20,Separate search matrix export by generic/brand name,Asif Solkar,,"Medium Priority,Search Matrix",,Label Issues,
33897503179973,2015-05-12,2015-06-18,2015-06-18,Search yields incorrect results. ,Asif Solkar,,"High Priority,Completed,Search Query,Search Results",,Label Issues,
33895174972631,2015-05-12,2015-07-28,2015-07-28,Search term does not yield correct results,Asif Solkar,,"High Priority,Completed,Search Query,Search Results"," When searching for ""do not use"" in Medguide Section, search does not return ZYDELIG label, which does contain the search term in the Medguide Section.

Screenshots below:
1. search query
2. ZYDELIG label Medguide Section",Label Issues,
33583752461339,2015-05-08,,2015-07-28,asterisk search does not return expected results,Asif Solkar,,"High Priority,Search Query","Issue: when replacing the first three letters of a search term with asterisk (*), the terms found in the first search are not found.

Steps to reproduce: 
1. Run two searches below
2. Second search (with asterisk) should contain all results in first search, but Albendazole and Ivermectin are missing.",Label Issues,
31989410549237,2015-04-17,,2015-04-29,Pfizer CDS Mapping,Dennis Wijnker,,"High Priority,Completed,Upload","Sohel,
Could you please map the attached 4 CDS's for Pfizer? They follow the UK SPC format section order. In fact, some sections are already mapping well to Combined list. 

Thank you,
Katia

",Label Issues,
31291751675049,2015-04-09,2015-05-06,2015-05-06,Word export failure for uploaded documents,Asif Solkar,,"High Priority,Completed,Upload","For certain uploaded documents, Word Export does not produce a file download. Only occurs when exporting two uploaded documents.

Steps to reproduce:
1. Login to Janssen client acct (ID 23)
2. Upload the two attached documents using CCDS format
3. Export both documents to Word (all sections)
4. File does not download",Label Issues,
31309279645638,2015-04-09,2015-05-06,2015-05-06,Map USPI label to US List Janssen (client ID 23),sohel,,"High Priority,Completed,Upload","Please map the attached document to US List for Janssen client (ID 23), with name ""USPI Format 1"" in the dropdown menu.",Label Issues,
31030128494155,2015-04-07,,2015-07-27,Question from Pfizer,Asif Solkar,,"Search Query,Medium Priority","How does the tool search for Manufacturer (for both US and UK labels)?

Apologies if I asked this before, just wanted to confirm again. 

Thank you,
Katia",Label Issues,
30000477682452,2015-03-24,2015-05-06,2015-05-06,DailyMed link not working,Asif Solkar,,"High Priority,Completed,DailyMed","https://app.asana.com/0/9322059614112/9322059614112, we are having problems with some links from labels that do not navigate to the label page on DailyMed, but rather to the generic DailyMed site (http://dailymed.nlm.nih.gov/dailymed/index.cfm).

This results after clicking either the link from the full-text window on the web, or from the exported Word or Excel docs (screenshots below).",Label Issues,
29621753705395,2015-03-18,2015-07-27,2015-07-27,Drug class search bug,Asif Solkar,,"High Priority,Search Query","Looks like there is a bug in the search when combining a drug class AND keyword in any/specific section. 

When I search by class I get 75 results. When I add another keyword with an AND I get 277 results. 

Please take a look. 
Thanks!
Katia",Label Issues,
29621753705408,2015-03-18,,2015-07-28,Feature Request- UK drug class,Asif Solkar,,"Medium Priority,Drug Class","Novartis asked if possible to add a drug class search option for UK labels. One suggestion was using the ATC code provided in Section 5.1 of UK Labels. I found a list online, but there may be a better resource for it. 

Could you please investigate this option? 

http://ec.europa.eu/health/documents/community-register/html/atc.htm

Thank you,
Katia",Label Issues,
29147304783564,2015-03-12,2015-03-24,2015-03-24,Remove NDC Code from UK list,Asif Solkar,,"Completed,Search Query,Medium Priority","https://app.asana.com/0/9322059614112/9322059614112, can you please remove the NDC Code (US only) option from the UK list?

Thanks,

Toby",Label Issues,
29147304783576,2015-03-12,2015-03-24,2015-03-24,Add Country Option to UK and US lists,Asif Solkar,,"Completed,Search Query,Medium Priority","https://app.asana.com/0/9322059614112/9322059614112, please add the Country option to the search menu for US and UK lists. 

Thank you,

Toby",Label Issues,
29147304783587,2015-03-12,2015-04-16,2015-04-16,Error message on Search Matrix Export,Asif Solkar,,"High Priority,Completed,Export Matrix","https://app.asana.com/0/9322059614112/9322059614112,

For certain searches, the client is reporting the following error upon clicking to Export Search Matrix. ",Label Issues,
28957607649419,2015-03-10,2015-03-13,2015-03-13,dMapping Novartis CDS Document to UK Labels,sohel,,"High Priority,Upload","https://app.asana.com/0/9322059614112/9322059614112, please map the attached CDS document to the UK Label list. I've added comments in second attached version corresponding to sections that should be mapped.

Please note that two sections, Pharmacological Properties, and Pharmaceutical Particulars, contain subsections that map to specific sections.

Thanks,

Toby",Label Issues,
28676173581179,2015-03-06,2015-04-16,2015-04-16,FDA Docs not working,Asif Solkar,,"High Priority,FDA Docs",Please take a look at the FDA Docs feature-  documents not showing for any labels that I tried,Label Issues,
29133451892550,2015-03-12,2015-03-24,2015-03-24,Ditropan XL Matched to Wrong Generic,Asif Solkar,,"High Priority,Completed,Search Results","Please check why Ditropan XL V4 is matched to the wrong generic esoxybutynin. Can you also look into Esoxybutynin - it is not found on dailymed. 
Thanks,
Katia",Label Issues,
27767981603238,2015-02-24,2015-03-06,2015-03-06,Map document to UK list for GSK uploadi,sohel,,"High Priority,Upload","@Sohel,

Please map the attached document below specifically to the UK list under the GSK acct (client ID 25). 

The new option on the dropdown menu for upload format should read: ""EU SmPC"".

IMPORTANT: Could you please let me know how long you think this mapping process will take? I would like to let the client know.

Thank you,

Toby",Label Issues,
28554407602412,2015-03-04,2015-03-13,2015-03-13,Additional mapping for GSK GDS document,sohel,,"High Priority,Upload","https://app.asana.com/0/9322059614112/9322059614112, currently the GSK GDS document (attached below) is mapped to the combined list -- however, because it has an almost identical structure to the UK label format, the client would like to map it to UK. The section headers should be identical, but please let me know if you have any questions.

We should add a new listing in the dropdown menu, ""GDS-UK mapping"".

The current listing can then be renamed as ""GDS-US mapping"".

Thank you,

Toby",Label Issues,
25692284092013,2015-01-31,2015-05-06,2015-05-06,User unable to access Upload ,sohel,,"High Priority,Completed,Upload,Urgent","https://app.asana.com/0/9322059614112/9322059614112, the user michael.romano@novartis.com cannot access the upload module, and gets the error message below when attempting to upload a document. He is a member of the Novartis client group, which should give him access. Please look into this issue ASAP.

Thanks,

Toby",Label Issues,
23640526094933,2015-01-08,2015-01-08,2015-01-08,[Duplicate] Typo in subsection dialog box ,Asif Solkar,,"High Priority,Export Excel,Export Word","Typo in dialog box, should be ""Separate"" 

Appears in both Word and Excel export dialog boxes",Label Issues,
22753977765112,2014-12-18,2015-05-06,2015-05-06,Option to keep subsections in same cell,Asif Solkar,,"High Priority,Completed,Export Excel,Export Word","https://app.asana.com/0/9322059614112/9322059614112,

We need an option to prevent subsections from being separated into into different cells on export to Word and Excel. This was the original functionality of the export tool, so I imagine it will be easy to add as an option. Suggested check-box format in mock-up below, along with screenshots showing appearance of subsections with or without option.

Thanks,

Toby",Label Issues,
24014209368373,2015-01-13,2015-01-14,2015-01-14,Version Comparison Does Not Appear,Asif Solkar,,"High Priority,Completed,Version Compare","After selecting comparison, system hangs on ""loading please wait"" message. 

Steps to reproduce:
1. Search for REMICADE US label
2. Compare v2 vs. v3
3. Hangs on message in screenshot below",Label Issues,
21270533520285,2014-12-01,2014-12-03,2014-12-03,Manage Sections Admin Tool Question ,Asif Solkar,,,"Sohel, 
I am having some issues while trying to create a new section order list. 1) I cannot delete some sections once I create them, and 2) I cannot change the order of sections. 
Can you please take a look? Am I doing something wrong?
Thank you,
Katia",Label Issues,
21384321339903,2014-12-02,2015-05-06,2015-05-06,Drug Class Issue ,Asif Solkar,,"High Priority,Completed,Drug Class","There seems to be a mismatch between the search and the filters. search finds 5 generics, but when filtering by the same drug class only 1 results is shown. ",Label Issues,
20818871806456,2014-11-21,2014-11-26,2014-11-26,Celgene -Thalidomide CCDS,sohel,,"High Priority,Completed,Upload","Just a minor issue here. Sec 6.6 also pulls in the footers 1,2,3 and Confidential and Proprietary footer text. I have also seen this in other Celgene documents. Please let me know if you can fix. ",Label Issues,
20818871806436,2014-11-21,,2015-04-29,Celgene - Apremilast CCDS,sohel,,"High Priority,Completed,Upload","Please  check the mapping for Sec 4.5.3. It should also include ""Not applicable"" text. ",Label Issues,
20818871806445,2014-11-21,2014-11-26,2014-11-26,Celgene - Azacitidine CCDS,sohel,,"High Priority,Completed,Upload","Please map section 4.6. titled ""Pregnancy, Lactation, and Fertility""  to Pregnancy and Lactation. I think there is an extra space in the header that prevents the proper mapping Please fix for this one. 
",Label Issues,
20544786080572,2014-11-18,2014-11-26,2014-11-26,Mapping problems in GSK GDS upload,sohel,,"High Priority,Upload","https://app.asana.com/0/9322059614112/9322059614112, please see the below issues with the GSK upload mapping:

1. Patient info (PIL) of adverse reactions comes up in Adverse Reactions section of GDS (see screenshot below and PIL info starting on page 19 of attached Word doc ""FF Asthma GDS Version 1"")
2. Adverse Reactions section of GDS maps to Clinical Studies (see second screenshot below and Adverse Reactions section starting on page 5 of attached Word doc ""FF Asthma GDS Version 1"")
3. Nonclinical section maps to bottom of clinical studies (see third screenshot below and Nonclinical Information section starting on page 13 of attached Word doc ""FF Asthma GDS Version 1"")
4. Table format not preserved in Word export of GDS comparison (see first page of attached Word doc ""Label_Comparisons_on_08-18-2014_02-57-34 - EU SmPC vs cisat GDS - with comments"" and page 6 of ""FF Asthma GDS Version 1"")",Label Issues,
20103246529418,2014-11-13,2014-11-21,2014-11-21,"Excel export not working after ""select all"" feature addition",sohel,,"Bugs,High Priority,Completed,Export Excel","https://app.asana.com/0/9322059614112/9322059614112, a client has reported that the export comparisons to excel feature is not working since the change for select all labels. She arrives at the dialog box below, but nothing happens when she clicks Export.

Using Google Chrome in Windows.

Thanks,

Toby",Label Issues,
17635627403793,2014-10-10,2014-10-28,2014-10-28,Drug name missing in word export for LO/OVRAL -28,katia,,"Export Word,Low Priority",Drug name and link are missing.,Label Issues,
19077991353266,2014-10-30,,2015-08-07,Get labels without NDC,Asif Solkar,,High Priority,,Label Issues,
16949736654096,2014-09-30,,2015-04-29,EMC link error,toby sayre,,"Export Excel,Export Word,Low Priority","When clicking link from either Excel or Word export for label of ""Calcichew D3 Chewable Tablets"" I get the error in screenshot below on EMC site. Excel and Word export attached.",Label Issues,
16007243966249,2014-09-05,2014-09-10,2014-09-10,Quick Add popup message,sohel,,"High Priority,Completed,Quick Add",Please see attachment for the message I am getting after entering each letter of the drug I am trying to add. ,Label Issues,
16010438927034,2014-09-05,2014-10-28,2014-10-28,Uploaded document (Astellas) does not map Clinical Pharmacology Section,sohel,2014-09-08,"High Priority,Completed,Upload",Screenshot and uploaded doc attached. ,Label Issues,
16007243966261,2014-09-05,2014-10-10,2014-10-10,Quick Add searches6 only UK?,sohel,,"High Priority,Quick Add","US labels do not come up in Quick Add. Please take a look asap. Reported by client. 
Thanks!
Katia",Label Issues,
15804272122567,2014-08-27,2014-10-29,2014-10-29,UK Labels-generic names not listed in exports,Asif Solkar,,"Export Matrix,Medium Priority",They do show in search results but not in matrix or other exports. ,Label Issues,
15774579404399,2014-08-26,2014-10-28,2014-10-28,Highlighting not working ,Asif Solkar,,"High Priority,Export Matrix,Highlights","I am running a search using both NEAR and * functions and noticed that highlighting is missing in some labels. Ex. US Orencia label in attached screenshot. Search matrix only shows the list of labels but nothing in sections. Please take a look asap and let me know if this is something that can be fixed. We want to deliver the comparison export in excel and search matrix tomorrow. 
Thank you,
Katia",Label Issues,
15710116287832,2014-08-25,2014-09-10,2014-09-10,Asking twice for labels in Export to Word,sohel,,"Bugs,Completed,Export Word","If a user selects 5 or less labels to export to word, they are prompted again to select the items they wish to export. Why should they be asked twice?

Steps to reproduce:
1. Search that returns multiple results (like ""generic name"" contains ""ibuprofen"")
2. Select up to 5 labels for comparison
3. Select Export Comparisons to Word
4. User is again prompted to select labels for export
",Label Issues,
15679716602612,2014-08-21,2014-08-25,2014-08-28,Uploaded Document Icon,sohel,,"Completed,Medium Priority,Upload","The document icon which differentiates a client uploaded document from US or UK labels appears to be replaced with US/UK icon. Please take a look. Attached is Biogen's CDS as example, but I think others are showing up the same. 
Thanks,
Katia",Label Issues,
15583008986634,2014-08-18,2014-08-26,2014-08-28,Biogen CDS Mapping ,sohel,,"High Priority,Completed,Upload","Please map the attached CDS documents (one is a template and the other one is an example of Biogen product CDS) to configure the Document Upload Tool for Biogen (client ID 55).

Let me know if you have any questions,
Katia


",Label Issues,
15744175628495,2014-08-25,2014-08-26,2014-08-26,PLEGRIDY label,Asif Solkar,,"Completed,Medium Priority,Search Results","This label has been uploaded to DailyMed on Aug 19, however still not available in DOC label. Could you take a look into why it has been delayed? 

Thank you,
Katia

http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=08f0ea03-4e6d-195d-aef4-886e32befa95",Label Issues,
15679716602581,2014-08-21,2014-08-25,2014-08-25,Combined List Sections ,Ajay,,"Bugs,Completed,Medium Priority,Section Order List","Could you please take a look at the Combined section order. I have been trying to get rid of the numbers that are associated with Contraindications and Overdose sections, but they always seem to come back.

Thanks!
Katia",Label Issues,
15679716602595,2014-08-21,2014-10-28,2014-10-28,Storage and Handling Section,sohel,,"Completed,Medium Priority,Section Order List","This section does not seem to be mapping to the information in the US labels. Please see attached screenshot. 

Katia ",Label Issues,
15744175628474,2014-08-25,2014-08-26,2014-08-26,Xgeva label,Asif Solkar,2014-08-26,"High Priority,Completed,Search Results","For some reason this label does not come up in the search when using PLR section order to look for ""pediatric"" keyword within ""Use in Specific Population"" section. When I run the same search by selecting US list and ""Pediatric Use Section"" it seems to bring up the Xgeva label and I can view the pediatric information in PLR format from here. Can you see why this could be happening? I would need to get back to client on this.
Katia",Label Issues,
15456280649925,2014-08-12,2014-08-13,2014-08-13,INVOKAMET label not showing up in search,Asif Solkar,,"High Priority,Completed,Search Results","Invokamet label appears added to the DOC Label database on Aug 12 (as seen in the dashboard view), but does not come up in a search by either brand,generic, title, etc. 

Please take a look asap. Potential client is expecting a comparison as soon as label is available (was uploaded to DailyMed on Aug 8). 

Thank you,
Katia",Label Issues,
15357119637928,2014-08-07,2014-10-30,2014-10-30,Uploaded document subsection parsing in export,sohel,,"High Priority,Completed,CDS,Export Word","When uploading an SPL to Janssen acct (janssen_demo/demo123$), the exported comparison does not parse SPL into subsections as it is parsed for DailyMed labels. Because the upload is an XML document, I think it should be possible to enable the same type of parsing. Is this possible? A client has requested this functionality.

Example XML SPL attached.

Thanks,

Toby",Label Issues,
15238979604157,2014-08-04,2014-08-25,2014-08-25,Purixan-Unmapped Sections,Asif Solkar,,"High Priority,Completed,Section Order List","For Purixan label, sections 5 and 8 appear unmapped: 

Sec 5: Warnings and Precautions 
Sec 8: Use in Specific Populations 

Client was looking for pregnancy and lactation information and was not able to find it under any section list orders. 

Please take a look as soon as possible. 

Thank you,
Katia

",Label Issues,
15583008986619,2014-08-18,2014-08-19,2014-08-19,Jardiance USPI,sohel,,"High Priority,Completed,Search Results","Could you please upload Jardiance USPI from DailyMed? We have been waiting for this label to post to DailyMed for a while and need to provide a comparison for a potential client as soon as possible. 

Thank you,
Katia

http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=faf3dd6a-9cd0-39c2-0d2e-232cb3f67565

",Label Issues,
15359386928425,2014-08-07,,2014-08-07,Forest plot* search fails to find term,Asif Solkar,,"Bugs,Search Query,Highlights,Medium Priority","Steps to replicate:

1. search for ""forest plot*"" in Clinical Studies section (see screenshot)
2. add ELIQUIS label to comparison panel
3. no highlighted term appears in Clinical Studies section, and within label search fails to find term ""forest"" (see screenshot) ",Label Issues,
15238979604128,2014-08-04,2014-08-11,2014-08-11,Vidaza-missing archived version,Asif Solkar,,"High Priority,Version","DOC Label does not contain 2008 version of Vidaza (found on DailyMed). 
http://dailymed.nlm.nih.gov/dailymed/archives/fdaDrugInfo.cfm?archiveid=9256

Katia",Label Issues,
15179434253049,2014-07-30,2014-11-05,2014-11-05,"ADVATE, RIXUBIS Missing in DOC Label",Asif Solkar,,"High Priority,Completed,Search Query","Two of the three labels reported by client are missing from DOC Label, but found on DailyMed. Please see email below and links to labels on DailyMed. Any idea why those labels would not be in the database?

ADVATE http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=91ca765f-fe58-4dee-a7eb-c8d3de9f115a <http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=91ca765f-fe58-4dee-a7eb-c8d3de9f115a>
RIXUBIS http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f5070a92-96b8-476a-a2dc-18b22d95e5e0 <http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f5070a92-96b8-476a-a2dc-18b22d95e5e0>

Thank you,
Katia

From: Lauren Langis

Date: Wednesday, July 30, 2014 at 10:04 AM

Subject: DOC Label Issue

To whom it may concern,

I am trying to compare hemophilia labels, but ran into an issue with the availability of those labels in the DOC Label system.  Specifically, I was searching for ADVATE, NOVOEIGHT, and RIXUBIS.  I initially looked up NOVOEIGHT.  When there
were no results, I figured there may have been an issue since it was recently approved.  However, I then searched for ADVATE as that was approved in 2003, but no results were found.  I also did a search on Daily Med to see what is available.  It seems that
the ADVATE and RIXUBIS labels are available, but NOVOEIGHT is not.  Is there any action that can be taken to gain access to these labels?

Regards,

Lauren M. Langis",Label Issues,
13009114609426,2014-06-10,2014-12-24,2014-12-24,NEAR search with asterisk doesn't return highlights,Asif Solkar,2014-08-11,"Bugs,High Priority,Search Query,Bold Section,Export Matrix,Highlights","When performing the search below, 24 labels are returned in the results, but most of them do not have any highlighted terms associated with them. When I click ""B"" for bold in the example in the second screenshot below, no sections are bolded. Also, when search matrix is exported, only one label contains search results.

",Label Issues,
14762555475652,2014-07-15,2014-08-07,2014-08-07,Version Comparison Export to Word,Asif Solkar,,Version Compare,"Similar issue already reported earlier. The highlighting in browser does not match the word doc export. I have tried turning off ""track changes"" function, but does not seem to help. 

Please take a look.
Katia",Label Issues,
14240268480209,2014-07-01,2014-07-07,2014-07-07,Map two additional upload document formats to GSK client (ID 25),sohel,,"High Priority,Completed,CDS",Please map these two documents for client ID 25.,Label Issues,
13727001301967,2014-06-30,2014-07-02,2014-07-02,Entyvio (vedolizumab),sohel,,High Priority,"Entyvio US Label does not appear in DOC Label, but it does appear in DailyMed.

http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6e94621c-1a95-4af9-98d1-52b9e6f1949c
",Label Issues,
13436716502954,2014-06-27,2014-07-07,2014-07-07,Multiple upload formats per client,Ajay,,"High Priority,Completed,CDS","https://app.asana.com/0/799906860948/799906860948 https://app.asana.com/0/2826622262663/2826622262663 https://app.asana.com/0/9322059614112/9322059614112  can we enable multiple upload formats for one client? This would require a drop-down menu in the client-facing upload dialog box. Our client Janssen is requesting this -- can you please let me know if we can enable it by end of next week?

Thanks,

Toby",Label Issues,
13436716502964,2014-06-27,2014-07-02,2014-07-02,Enable upload format 11 for Janssen id 23,Ajay,,CDS,,Label Issues,
13437347834528,2014-06-27,2014-07-03,2014-07-03,Streptomycin by Roerig,Asif Solkar,,"High Priority,Completed,Search Query","This US label also appears missing from Doc Label.

http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=50972f39-a15b-4c90-b9e6-cf7f76cd6e99

Please take a look as soon as possible. Issue reported by trial client. 
Thank you.",Label Issues,
13406287077364,2014-06-26,2014-10-21,2014-10-21,Version comparison Word export highlighting,Asif Solkar,,"High Priority,Completed,Version Compare,Save as Word",The Word export from version comparison of REVIA US label comparing v1 to v4 shows highlights on different parts of document than are shown in web comparison. Word export and screenshot of All Sections comparison attached.,Label Issues,
13405569532321,2014-06-26,2014-07-03,2014-07-03,Lemtrada (alemtuzumab) ,katia,,"High Priority,Completed,Search Query","This is another EU label missing from our database, while available in EMC. This one reported by Janssen. 

http://www.medicines.org.uk/emc/medicine/28917/SPC/LEMTRADA+12+mg+concentrate+for+solution+for+infusion/

Is it possible to add it? If so, could we add as soon as possible? ",Label Issues,
13405558968102,2014-06-26,2014-07-03,2014-07-03,Jardiance (empagliflozin),Amit,,"High Priority,Completed,Search Query","Cannot locate Jardiance (empagliglozin) in DOC Label. It’s been approved in EU on July 23, 2014 and is available  in EMC.

http://www.medicines.org.uk/emc/medicine/28974/SPC/Jardiance&#43;25&#43;mg&#43;film-coated&#43;tablets/#PRODUCTINFO <http://www.medicines.org.uk/emc/medicine/28974/SPC/Jardiance&#43;25&#43;mg&#43;film-coated&#43;tablets/#PRODUCTINFO>

Please add if possible, even if manually, as we are working in the search for the client due tomorrow morning.

Katia",Label Issues,
13410896328586,2014-06-26,2014-07-03,2014-07-03,Eliquis (apixaban),Asif Solkar,,"High Priority,Completed,Search Query","Another EU label missing from database: Eliquis (apixaban)

http://www.medicines.org.uk/emc/medicine/24988/SPC/Eliquis+2.5+mg+film-coated+tablets/


",Label Issues,
13234898032158,2014-06-19,2014-06-23,2014-06-23,Manage Sections Bug,Ajay,,"Bugs,High Priority,Changed Section List","When trying to create a  PLR list for Pfizer I can’t get the US list to come up to that I can populate the PLR list with the right sections. Edan said there is a bug. 

Here are the login credentials I am using:
pfizer_demo (password demo123$)

Please let me know if this could be fixed asap (tomorrow-Friday)

Thank you,
Katia",Label Issues,
13234898032170,2014-06-19,2014-06-23,2014-06-23,Activating a PLR section list,Ajay,,"Changed Section List,Low Priority","We have discussed on one of the calls before, but could we add the ability to activate the PLR list for any client once it is created in DRE account? Would be much more efficient than creating from scratch every time. 

This could be similar to how we activate the US , UK, and combined lists for clients. 

Thanks,
Katia",Label Issues,
13061406350157,2014-06-12,2014-07-03,2014-07-03,GSK GDS Document Mapping,Ajay,2014-06-18,"High Priority,Completed,CDS","Please map the attached document for upload, and associate with GSK client group.",Label Issues,
13074889887294,2014-06-12,2014-06-18,2014-06-18,Add PLR List in default section lists,Ajay,2014-06-18,,,Label Issues,
12859243752698,2014-06-04,2014-06-05,2014-06-05,Unable to compare label,Ajay,2014-06-05,"Bugs,High Priority,Version Compare","Search for Label Title  Contain  PREZISTA, and compare any two versions.
Returned html is blank for all sections, compare any sections it will show blank screen, not even ""no data found"" for selected section.

Working for other labels, but not for this label.

Same issue for View label.",Label Issues,
12901128823568,2014-06-05,2014-07-03,2014-07-17,Archived labels  ,Ajay,,"Bugs,Completed,Search Query,Medium Priority","As discussed today during the call, please take a look at the archived label versions that are being pulled in when the ""Search Archives"" box is unchecked. Example of 
Thank you. ",Label Issues,
13316036796883,2014-06-23,2014-06-23,2014-06-23,Mapping Combined List,,,,,Label Issues,
12679557015284,2014-05-28,2014-06-12,2014-06-12,Extra lines in Excel export,Asif Solkar,,"Export Excel,enhancement","In the attached examples, some sections have extra spaces between the text lines. 

For example, if you look at the Adverse Reactions Section (first subsection of it-row 7), Clinical Studies Section-row 20, and Indication and Usage Section-row 23-all of these have lots of space between text lines.
",Label Issues,
12509034953315,2014-05-21,2014-05-22,2014-05-22,Sections not showing side-by side,Ajay,,Comparison Panel,"Hello,

I had this issue during demo today. When I am clicking on a section to compare, this section is not aligned appropriately in the comparison window. In this example, I have selected multiple sections, but when I wanted to focus on Adverse Reactions-this
section is not aligned.

Thanks,
Katia

Katia Butylkova, PharmD
Senior Associate of Client Solutions
Doctor Evidence, LLC
Santa Monica, CA 90401
c.818.448.5115
katia@doctorevidence.com",Label Issues,
